product_name,url,sku,overall_rating,rating,headline,review,sentiment,date,author
Dice Set Of (5) Boxer Basic,https://www.jumia.com.eg/dice-set-of-5-boxer-basic-116913990.html,DI195MW1TG81LNAFAMZ,4.3 out of 5,4 out of 5,الخامه بمنتهى الراحه والجمال فقط الأستك غير مريح,تغير الأستك اللى خامه افضل وانعم,neutral,17-08-2025,by Eslam
Dice Set Of (5) Boxer Basic,https://www.jumia.com.eg/dice-set-of-5-boxer-basic-116913990.html,DI195MW1TG81LNAFAMZ,4.3 out of 5,5 out of 5,good,خامه نضيف وتقفيل كويس,neutral,17-08-2025,by Ahmad
Dice Set Of (5) Boxer Basic,https://www.jumia.com.eg/dice-set-of-5-boxer-basic-116913990.html,DI195MW1TG81LNAFAMZ,4.3 out of 5,5 out of 5,ممتاز,ممتاز انصح به,neutral,06-08-2025,by محمد
Dice Set Of (5) Boxer Basic,https://www.jumia.com.eg/dice-set-of-5-boxer-basic-116913990.html,DI195MW1TG81LNAFAMZ,4.3 out of 5,5 out of 5,جميل اوى,حلوة اوى,neutral,18-06-2025,by احمد جابر سعد
Honor X8c – 6.7 inches Dual SIM 4G 512GB/8GB Mobile Phone - Moonlight White + Free Earbuds X6 - White,https://www.jumia.com.eg/honor-x8c-6.7-inches-dual-sim-4g-512gb8gb-mobile-phone-moonlight-white-free-earbuds-x6-white-131555399.html,HO474MP3AOVP5NAFAMZ,5 out of 5,5 out of 5,وصل بالوقت المناسب والمنتج جدا رائع,الموبايل رائع جدا، وكان السعر الأنسب في جوميا,neutral,16-07-2025,by Saad
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,خامه جيده,"خامه كويسه

خامه جيده",neutral,25-08-2025,by SM
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,ممتاز,ممتاز,neutral,17-08-2025,by Amany
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,1 out of 5,I don't like it,مقاسات صغيره جدا,neutral,10-08-2025,by Mzain
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,1 out of 5,مش قد كده,عيبهم الاستيك بينسل بسرعه جدا,neutral,10-08-2025,by Dina
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,الوان حلوه,الألوان حلوه وخامه كويسه ومناسبه للسعر,neutral,05-08-2025,by Merna
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,قطن,الخامة,neutral,03-08-2025,by Rasha
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,I like it,حلو اوي,neutral,31-07-2025,by Engy
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,جميل جدا,جميل جدا,neutral,27-07-2025,by Tarek
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,تحفه بجد,"الكومنتات خوفتني بس لما وصلني لقيته حلو جدا 
وبعدين دا 185 يا جماعة يعني حلو",neutral,13-07-2025,by Dr
Malika Bundle OF Six Printed Underwear - For Women,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,CO062SL0ISW54NAFAMZ,4.1 out of 5,5 out of 5,حلوين اوي,عجبني خامتهم اوي مريحين جدا,neutral,13-07-2025,by Soma
Samsung ‎‎55 Inch Crystal UHD DU7000 4K Tizen OS Smart TV (2024)‎‎,https://www.jumia.com.eg/55-du7000-crystal-uhd-4k-tv-samsung-mpg1155055.html,SA024EL1D4N4GNAFAMZ,4.3 out of 5,5 out of 5,خدمة ممتازة وشاشة جيدة,شاشة جيدة مقابل سعر مناسب,neutral,10-08-2025,by Drahmed
Samsung ‎‎55 Inch Crystal UHD DU7000 4K Tizen OS Smart TV (2024)‎‎,https://www.jumia.com.eg/55-du7000-crystal-uhd-4k-tv-samsung-mpg1155055.html,SA024EL1D4N4GNAFAMZ,4.3 out of 5,5 out of 5,Good ok,Good ok,positive,13-07-2025,by Mahmoud
Samsung ‎‎55 Inch Crystal UHD DU7000 4K Tizen OS Smart TV (2024)‎‎,https://www.jumia.com.eg/55-du7000-crystal-uhd-4k-tv-samsung-mpg1155055.html,SA024EL1D4N4GNAFAMZ,4.3 out of 5,5 out of 5,ممتاز,مشاء الله الجهاز جميل جدا ممتاز,neutral,04-12-2024,by Nermen
Samsung ‎‎55 Inch Crystal UHD DU7000 4K Tizen OS Smart TV (2024)‎‎,https://www.jumia.com.eg/55-du7000-crystal-uhd-4k-tv-samsung-mpg1155055.html,SA024EL1D4N4GNAFAMZ,4.3 out of 5,5 out of 5,good,الجوده,neutral,03-12-2024,by mostafa mohammed
